Java HotSpot(TM) Client VM (25.101-b13) for windows-x86 JRE (1.8.0_101-b13), built on Jun 22 2016 00:45:44 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8299396k(2427440k free), swap 11051908k(2527484k free)
CommandLine flags: -XX:InitialHeapSize=16777216 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseLargePagesIndividualAllocation 
0.422: [GC (Allocation Failure) 0.429: [DefNew: 4416K->512K(4928K), 0.0028454 secs] 4416K->1256K(15872K), 0.0100524 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.733: [GC (Allocation Failure) 0.733: [DefNew: 4928K->512K(4928K), 0.0027367 secs] 5672K->2073K(15872K), 0.0028147 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.049: [GC (Allocation Failure) 1.049: [DefNew: 4928K->512K(4928K), 0.0021071 secs] 6489K->2689K(15872K), 0.0021595 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.397: [GC (Allocation Failure) 1.397: [DefNew: 4928K->511K(4928K), 0.0017708 secs] 7105K->3135K(15872K), 0.0018458 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.683: [GC (Allocation Failure) 1.683: [DefNew: 4927K->469K(4928K), 0.0014787 secs] 7551K->3261K(15872K), 0.0015431 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.899: [GC (Allocation Failure) 1.899: [DefNew: 4885K->511K(4928K), 0.0019082 secs] 7677K->3755K(15872K), 0.0019585 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.130: [GC (Allocation Failure) 2.130: [DefNew: 4927K->511K(4928K), 0.0027751 secs] 8171K->4135K(15872K), 0.0028325 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.359: [GC (Allocation Failure) 2.359: [DefNew: 4927K->306K(4928K), 0.0019223 secs] 8551K->4134K(15872K), 0.0019768 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.570: [GC (Allocation Failure) 2.570: [DefNew: 4722K->484K(4928K), 0.0014767 secs] 8550K->4416K(15872K), 0.0015272 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.691: [GC (Allocation Failure) 2.691: [DefNew: 4900K->511K(4928K), 0.0016486 secs] 8832K->4652K(15872K), 0.0017014 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.832: [GC (Allocation Failure) 2.832: [DefNew: 4927K->435K(4928K), 0.0015493 secs] 9068K->4708K(15872K), 0.0016007 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.907: [GC (Allocation Failure) 2.907: [DefNew: 4846K->512K(4928K), 0.0020967 secs] 9120K->5025K(15872K), 0.0021774 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.974: [GC (Allocation Failure) 2.974: [DefNew: 4928K->451K(4928K), 0.0022880 secs] 9441K->5224K(15872K), 0.0023678 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.036: [GC (Allocation Failure) 3.036: [DefNew: 4851K->511K(4928K), 0.0013836 secs] 9624K->5441K(15872K), 0.0014398 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.118: [GC (Allocation Failure) 3.118: [DefNew: 4927K->512K(4928K), 0.0017880 secs] 9857K->5626K(15872K), 0.0018474 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.262: [GC (Allocation Failure) 3.262: [DefNew: 4928K->511K(4928K), 0.0023256 secs] 10042K->5811K(15872K), 0.0024483 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
3.433: [GC (Allocation Failure) 3.433: [DefNew: 4927K->457K(4928K), 0.0018618 secs] 10227K->5872K(15872K), 0.0019104 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
3.566: [GC (Allocation Failure) 3.566: [DefNew: 4873K->500K(4928K), 0.0018054 secs] 10288K->6140K(15872K), 0.0018754 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.643: [GC (Allocation Failure) 3.643: [DefNew: 4916K->511K(4928K), 0.0026031 secs] 10556K->6296K(15872K), 0.0026728 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.746: [GC (Allocation Failure) 3.746: [DefNew: 4927K->454K(4928K), 0.0015824 secs] 10712K->6304K(15872K), 0.0016291 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
3.859: [GC (Allocation Failure) 3.859: [DefNew: 4870K->511K(4928K), 0.0024882 secs] 10720K->6544K(15872K), 0.0025635 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.994: [GC (Allocation Failure) 3.994: [DefNew: 4903K->511K(4928K), 0.0027668 secs] 10936K->6794K(15872K), 0.0028767 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
