Java HotSpot(TM) Client VM (25.101-b13) for windows-x86 JRE (1.8.0_101-b13), built on Jun 22 2016 00:45:44 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8299396k(1884572k free), swap 13394472k(2597324k free)
CommandLine flags: -XX:InitialHeapSize=16777216 -XX:MaxHeapSize=268435456 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseLargePagesIndividualAllocation 
0.393: [GC (Allocation Failure) 0.393: [DefNew: 4416K->512K(4928K), 0.0053263 secs] 4416K->1251K(15872K), 0.0055237 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
0.488: [GC (Allocation Failure) 0.488: [DefNew: 4928K->512K(4928K), 0.0022737 secs] 5667K->2074K(15872K), 0.0023254 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.593: [GC (Allocation Failure) 0.593: [DefNew: 4928K->512K(4928K), 0.0019657 secs] 6490K->2657K(15872K), 0.0020189 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.673: [GC (Allocation Failure) 0.673: [DefNew: 4928K->511K(4928K), 0.0023967 secs] 7073K->3080K(15872K), 0.0024849 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.724: [GC (Allocation Failure) 0.724: [DefNew: 4927K->463K(4928K), 0.0027004 secs] 7496K->3184K(15872K), 0.0027670 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.769: [GC (Allocation Failure) 0.769: [DefNew: 4879K->512K(4928K), 0.0023711 secs] 7600K->3679K(15872K), 0.0024251 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.814: [GC (Allocation Failure) 0.814: [DefNew: 4928K->511K(4928K), 0.0021966 secs] 8095K->4113K(15872K), 0.0022876 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.871: [GC (Allocation Failure) 0.871: [DefNew: 4927K->308K(4928K), 0.0016301 secs] 8529K->4149K(15872K), 0.0016795 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.917: [GC (Allocation Failure) 0.918: [DefNew: 4724K->470K(4928K), 0.0014797 secs] 8565K->4411K(15872K), 0.0015369 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.952: [GC (GCLocker Initiated GC) 0.952: [DefNew: 4896K->486K(4928K), 0.0020436 secs] 8838K->4584K(15872K), 0.0021019 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.980: [GC (Allocation Failure) 0.980: [DefNew: 4902K->463K(4928K), 0.0019179 secs] 9000K->4709K(15872K), 0.0019912 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.007: [GC (Allocation Failure) 1.007: [DefNew: 4879K->373K(4928K), 0.0015351 secs] 9125K->4795K(15872K), 0.0015968 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.032: [GC (Allocation Failure) 1.032: [DefNew: 4789K->475K(4928K), 0.0016422 secs] 9211K->5074K(15872K), 0.0017159 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.059: [GC (Allocation Failure) 1.059: [DefNew: 4891K->511K(4928K), 0.0015576 secs] 9490K->5207K(15872K), 0.0016235 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.122: [GC (GCLocker Initiated GC) 1.122: [DefNew: 4927K->511K(4928K), 0.0015679 secs] 9623K->5365K(15872K), 0.0016277 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.153: [GC (Allocation Failure) 1.153: [DefNew: 4900K->512K(4928K), 0.0014720 secs] 9754K->5543K(15872K), 0.0015288 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.180: [GC (Allocation Failure) 1.180: [DefNew: 4928K->427K(4928K), 0.0015988 secs] 9959K->5617K(15872K), 0.0016568 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.212: [GC (Allocation Failure) 1.212: [DefNew: 4799K->512K(4928K), 0.0025825 secs] 9989K->5982K(15872K), 0.0026973 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.237: [GC (Allocation Failure) 1.237: [DefNew: 4928K->512K(4928K), 0.0021995 secs] 10398K->6371K(15872K), 0.0022559 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1.268: [GC (Allocation Failure) 1.268: [DefNew: 4915K->512K(4928K), 0.0024633 secs] 10775K->6679K(15872K), 0.0025839 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.298: [GC (Allocation Failure) 1.298: [DefNew: 4928K->511K(4928K), 0.0029457 secs] 11095K->6903K(15872K), 0.0030589 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1.330: [Full GC (Metadata GC Threshold) 1.330: [Tenured: 6391K->5368K(10944K), 0.0191292 secs] 10144K->5368K(15872K), [Metaspace: 11829K->11829K(12672K)], 0.0192411 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
1.381: [GC (Allocation Failure) 1.381: [DefNew: 4480K->511K(4992K), 0.0018895 secs] 9848K->6125K(15936K), 0.0019493 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.413: [GC (Allocation Failure) 1.413: [DefNew: 4991K->512K(4992K), 0.0025535 secs] 10605K->6355K(15936K), 0.0026349 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.447: [GC (Allocation Failure) 1.447: [DefNew: 4992K->512K(4992K), 0.0019676 secs] 10835K->6811K(15936K), 0.0020341 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.453: [GC (Allocation Failure) 1.453: [DefNew: 4986K->220K(4992K), 0.0014399 secs] 11286K->6871K(15936K), 0.0015449 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.456: [GC (Allocation Failure) 1.456: [DefNew: 4685K->185K(4992K), 0.0010125 secs] 11335K->6836K(15936K), 0.0010647 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.459: [GC (Allocation Failure) 1.459: [DefNew: 4653K->207K(4992K), 0.0008662 secs] 11303K->6858K(15936K), 0.0009122 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.461: [GC (Allocation Failure) 1.461: [DefNew: 4687K->219K(4992K), 0.0007904 secs] 11338K->6870K(15936K), 0.0008360 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.463: [GC (Allocation Failure) 1.463: [DefNew: 4699K->219K(4992K), 0.0007504 secs] 11350K->6870K(15936K), 0.0008044 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.465: [GC (Allocation Failure) 1.465: [DefNew: 4679K->258K(4992K), 0.0007431 secs] 11330K->6909K(15936K), 0.0008114 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
